zhipin-com-2026-04-22-3 (1)
web_scraper_order,web_scraper_start_url,name,name2,data2,data3,data4,data5,data6,data7,item_page_title,item_page_link,salary,title,data,data_1,data_6,Job_Description,page_update_time,name_1,company_address
1776841875-1,https://www.zhipin.com/web/geek/jobs,感知系统工程师（C++/后融合/OCC/机器人）,深圳青芒机器人科技,上海·浦东新区·张江,,,,1-3年,硕士,感知系统工程师（C++/后融合/OCC/机器人）,https://www.zhipin.com/job_detail/ea7bb66ad9795a900nV53969GFBX.html,30-60K·15薪,感知系统工程师（C++/后融合/OCC/机器人）,1-3年,硕士,上海,"Base：深圳或来自BOSS直聘上海
岗位职责
- 参与感知系统核心算法模块的开发、维护与持续优化，保障主线版本的稳定性与工程质量，能够对复杂问题进行分析、定位与修复
- 基于上游感知输出与下游模块需求，设计并实现感知算法的新特性与优化方案，涵盖原始数据处理、通⽤障碍物建模、⽬标级处理等场景，包括但不限于多⽬标及特殊目标建模、感知结果选源策略以及轨迹稳定性优化等
- 负责感知相关后处理节点的日常维护与性能优化，持续提升系统在复杂场景下的鲁棒性、实时性与可维护性
- 参与通⽤环境建模与障碍物表达相关算法的迭代与优化，对空间表达、栅格建模及其在实际业务中的问题进行分析并提出改进方案
- 面向移动平台或机器人类应用场景，维护并优化相关感知算法模块，关注整体时延、算力占用与系统稳定性，并根据需求完成算法或模型在不同平台上的适配与优化
- 根据项目需要，参与感知算法在不同硬件平台与中间件环境（如 x86 / ARM 平台，Apollo / ROS2 等）中的部署、调试与切换工作
- 参与感知相关工具与评测能力建设，包括问题分析工具、端到端评测流程与自动化能力，支持感知算法的持续迭代与质量评估
任职要求
必备条件
- 本科及以上学历，计算机、自动化、机器人、电子等相关专业
- 具备扎实的 C++ 编程能力，对性能、内存和工程质量有基本要求
- 具备一定的感知后处理 / 后融合 / OCC / 点云处理相关经验
 （校招需具备较强学习能力，对 C++ 与算法工程有浓厚兴趣）
- 对以下至少一类技术方向有实际理解或经验：
  - 多目标跟踪 / 数据关联 / 滤波
  - 点云数据处理与坐标变换
  - 图像处理 / 多视几何
  - 自动驾驶或机器人感知系统
加分项
- 有自动驾驶 / 机器人 / 无人系统实际项目经验
- 熟悉 OCC、目标级融合或感知后处理完整流程
- 有模型部署、量化、跨平台性能优化经验
- 熟悉 Linux 环境，具备良好的 Debug 能力
- 有 ROS / ROS2 / Apollo 使用经验",页面更新时间：2026-04-22,深圳青芒机器人科技,上海浦东新区科海大楼7F
1776841880-2,https://www.zhipin.com/web/geek/jobs,多模态交互模型工程师(A96435),智元机器人,上海·浦东新区·康桥,机器学习,大模型算法,自然语言处理算法,3-5年,本科,多模态交互模型工程师(A96435),https://www.zhipin.com/job_detail/6be42ecc6caa50960nd529-1EFtY.html,30-60K·15薪,多模态交互模型工程师(A96435),3-5年,本科,上海,"必备项：
1. 计算机、人工智能相关专业本科及以上学历。
2. 3 年以上经验，在训练工程、蒸馏压缩、部署优化中具备至少两项的深厚实战积累。
3. 精通 PyTorch 训练体系，代码⼯程能⼒极强，能独⽴且稳定地维护训练仓库。
4. 具备量化优化、ONNX/TensorRT/CUDA 推理优化经验。
5. 具备出色的 Problem-solving 能力，能将“模型指标不升反降”精准拆解并定位根因。
加分项：职位描述：
1. 训练流⽔线建设： 搭建与维护多模态模型训练 Pipeline（涵盖数据预处理、实验追踪、Checkpoint 管理与回归评测），支持音视频、状态序列等多模态输入。
2. Teacher-Student 蒸馏： 使用大模型/专家模块生成 Richer Labels，设计蒸馏目标、Loss 函数与 Hard-negative 机制，将高价值能力稳定转移至端侧，摆脱对云端的在线依赖。
3. 模型压缩与部署优化： 负责 PTQ/QAT、量化感知训练、剪枝与 KV/Cache 优化；导出 ONNX/TensorRT 等格式；在真实设备上死磕 Latency、显存、功耗与推理抖动。
4. 质量与回归治理： 建立可复现机制，系统性归因模型失效（数据、标签、结构或部署问题）；联合团队建设 Hard slices 与回放评测。
5. 运行时协同： 与系统侧拆分快慢路径，trade-off 端侧性能与业务收益，推动模型从“实验室能跑”跨越到“设备稳跑”。
6. 同时需要兼顾交互语义建模与任务定义（如回应对象判断、交互时机、主动策略等）
职位要求：
必备项：
1. 计算机、人工智能相关专业本科及以上学历。
2. 3 年以上经验，在训练工程、蒸馏压缩、部署优化中具备至少两项的深厚实战积累。
3. 精通 PyTorch 训练体系，代码工程能力极强，能独立且稳定地维护训练仓库。
4. 具备量化优化、ONNX/TensorRT/CUDA 推理优化经验。
5. 具备出色的 Problem-solving 能力，能将“模型指标不升反降”精准拆解并定位根因。
加分项：
1. 拥有 Jetson / ARM / 嵌入式 AI 推理极致优化经验。
2. 有流式模型（Streaming）、Chunked inference、端云一致性治理经验。
3. 熟悉 FSDP / DDP / DeepSpeed 及混合精度训练。
4. 做过端侧语音、视觉、边缘 VLM 或轻量多模态模型。
1. 拥有 Jetson / ARM / 嵌入式 AI 推理极致优化经验。
2. 有流式模型（Streaming）、Chunked inference、端云一致性治理经验。
3. 熟悉 FSDP / DDP / DeepSpeed 及混合精度训练。
4. 做过端侧语音、视觉、边缘 VLM 或轻量多模态模型。",页面更新时间：2026-04-22,智元机器人,上海浦东新区上海智元新创技术有限公司2
1776841885-3,https://www.zhipin.com/web/geek/jobs,大数据开发工程师,兴业数金,上海·静安区·火车站,Java,要求数据开发经验,其他数据开发经验,1-3年,本科,大数据开发工程师,https://www.zhipin.com/job_detail/aa8c315a162464a90nR72NW_EVpT.html,20-40K·13薪,大数据开发工程师,1-3年,本科,上海,"岗位职责：
1．负责企业级大数据平台的设计、开发、维护与优化，参与实时和离线数仓设计、数据模型体系的构建和开发，提供统一、可靠的离线和实时数据服务；
2．构建高效、稳定的数据处理流程，解决海量数据(TB/PB级）下的性能瓶颈问题；
3．负责数据治理，建立数据规范，优化数据链路，保证数据时效和数据质量
4．负责实时计算（如Flink、Kafka）与离线计算（如Hive、Spark）任务的开发与调优；
5．协同数据管理部门、业务团队完成数据驱动的决策⽀持，提供可落地的数据解决⽅案；
6．跟踪⼤数据领域前沿技术（如湖仓一体、流批一体、AI⼯程化），推动技术升级与创新
职位要求：
1.学历背景
  -计算机科学、软件工程、统计学等相关专业本科及以上学历，985/211优先。
  -两年及以上大数据开发经验，最短一份工作经历不少于一年。有复杂业务场景的实战经验者优先。校招生本硕均985/211或海外本硕QS前100者优先。
2.技术要求
  -精通Hadoop生态体系（HDFS/YARN/Hive/Spark/HBase等），熟悉分布式系统原理。研究过Hadoop或者Spark源代码的优先；
  -熟练掌握至少一门编程语言（Java/Scala/Python/Shell/SQL)，具备高性能代码开发能力者优先；
  -熟悉实时计算框架（Flink、Kafka Streams）及消息队列（Kafka/Pulsar）者优先；
  -熟悉云原生大数据技术（华为云Mars产品等）者优先；
  -有数据治理、数据安全（如脱敏、权限控制）经验者优先；
  -熟悉数据仓库建模、ETL开发，对数据平台和数据分析等有一定的了解者优先。
3.其他能力
  -良好的逻辑思维和沟通表达能力，有一定的组织协调能力，有团队合作精神，学习能力强；
  -技术视野开阔，有强烈的上进心和求知欲，善于学习和运用新知识。",页面更新时间：2026-04-21,兴业数金,上海静安区金融街融悦中心-A栋23F
1776841889-4,https://www.zhipin.com/web/geek/jobs,3D Dataset Engineer,Meshy AI,上海·虹口区·四川北路,机器学习,图像算法,多模态算法,1-3年,本科,3D Dataset Engineer,https://www.zhipin.com/job_detail/491dea7edd3d80b70nZ43t24FldY.html,20-40K·14薪,3D Dataset Engineer,1-3年,本科,上海,"Responsibilities 
- 负责 End-to-End 3D 数据治理与增强管线的开发及日常维护，确保 3D 数据在几何分析、质量评估及数据合成环节的高效流转。
- 利用 Python / C++ 开发内部数据清洗、标注及可视化⼯具；维护3D 资产质量监控引擎，持续优化数据基建的⾃动化⽔平。
- 负责处理数据 Pipeline ，深度参与数据清洗方案的对接与排期，Review 外部交付进度，确保高质量数据准时交付给算法团队。
- 参与 CI/CD 流程的搭建，负责⾼质量技术文档（RFC/Specs）的沉淀
Must-Have 
- 必须具备图形学背景或项目经验，熟悉 Mesh（GLB/OBJ/USD/FBX）的数据结构；理解几何处理基础（如流形检测、UV 展开、拓扑结构、法线计算等）
- 具备扎实的 Python 开发功底，能够熟练使用图形学/数据处理相关库
- 熟悉常见的数据结构与算法，具备处理千万级大规模数据集的能力
- 较强的文档撰写意识（RFC / Technical Specs），能够清晰、结构化地记录开发逻辑与操作流程
Nice-to-Have
- 熟悉 C++ / CUDA 编程，能够参与高性能数据索引或搜索引擎（如 KNN Graph）的开发与优化。
- 对生成式 AI 3D 产品有深入的体验 / 对原理有深入了解
- 有 Databricks 等大数据平台的使用经验，或熟悉常用的向量数据库、向量索引算法
- 有对接外部标注团队或管理外包进度的经验，具备一定的项目排期与沟通能力
- 3D 打印 / 激光雕刻发烧级爱好者，或有独立游戏开发经验",页面更新时间：2026-04-22,Meshy AI,上海虹口区上海星荟中心上海虹口区WeWork中国(星荟中心社区店)3楼3-137
1776841892-5,https://www.zhipin.com/web/geek/jobs,AI后端开发工程师-国企不卷不加班下班就走,某大型互联网公司,上海,数据结构,,,5-10年,本科,AI后端开发工程师-国企不卷不加班下班就走,https://www.zhipin.com/job_detail/236c101622f74c310nd-29y_GFtU.html,30-40K·15薪,AI后端开发工程师-国企不卷不加班下班就走,5-10年,本科,上海,"岗kanzhun位职责：
1. 负责公司产品的后端开发，参与需求分析、系统设计，负责核心技术问题攻关；
2. 根据需求文档和设计要求，进行后端代码的编写和优化，确保系统的高性能和稳定运⾏；
3. 设计和实现数据库结构，编写⾼效的SQL查询语句，保证数据的安全性和⼀致性；
4. 根据业务需求，参与API文档编写，保证API的规范性和可维护性；
5. 参与项目的需求评审和技术讨论，提供后端开发的专业意见和建议；
6. 与前端开发团队和测试团队紧密合作，进⾏项目的联调和测试；
7. 解决系统中出现的技术问题和Bug，并进行持续的系统优化和性能调优。
任职要求：
1. 全日制本科及以上学历，计算机、软件工程或相关专业；
2. 具备5年以上Java后端开发经验；
3. 熟练掌握Java语言和常用的开发框架，如Spring Boot、Spring Cloud、MyBatis等，能独立承担功能模块的架构设计开发。
4. 熟练掌握Java常用设计模式，熟悉常用的数据结构和算，并能合理运用，具备扎实的程序设计能力；
5. 熟悉MySQL数据库及其原理，熟练掌握SQL语句及数据库优化方案；
6. 熟悉Redis缓存，熟悉缓存设计模式及其应用；
7. 具备良好的编程习惯和代码规范，能够编写可读性强、可维护性高的代码；
8. 有基础中间件开发、基础技术中台开发经验者优先；
9. 对新技术保持敏锐的洞察力，能够灵活地运用到日常工作中，提高系统的性能和效率。
主要工作职责：
(1)  协助总经理制定公司发展规划，包括但不限于数字化产品研发计划、市场拓展计划等，配合组织落实公司年度经营计划和工作目标；
(2)  协助总经理拟定公司各项管理制度，规范并优化内部业务流程，推动各项管理制度的有效落实；
(3)  协助总经理有效管理公司日常经营，在分管领域做好相关的业务管理，包括但不限于市场拓展、客户维护、供应商管理、采购管理、内控及风险管理、研发体系管理、数字产品研发、数字产品运维、软件项目建设、数据中心运维、数字化设计及服务等；
(4)  协助总经理落实开展所辖条线员工的绩效评估工作，协助公司建立公平合理薪酬激励体系， 协助在公司内进行企业文化的宣贯，增强员工对企业文化的认同，引导公司文化与员工绩效行为的结合；
(5)  协助总经理跟踪技术趋势发展，根据业务发展要求，将合适的新技术引入公司，并结合业界技术趋势对市场变化等进行分析。积极探索新技术在公司产品上的应用，协助总经理对公司未来技术走向提出重要建议。参与规划公司有关创新理念的宣贯工作，指导所辖部门创新议案的编制工作；
(6)  做好跨部门工作协调与沟通，确保各项工作有序开展；
(7)  协助总经理建立公司对外部业务单元和数字生态合作关系，提升公司的数字生态影响力；
(8)  完成总经理交办的其它相关工作任务。
任职要求：
(1)  政治立场坚定，遵守国家法律法规，具有良好的职业素养和综合素质；
(2)  具有干事创业热情和勇于担当的使命感、责任感， 抗压性强；
(3)  具备任职岗位所必需的专业知识和管理技能；
(4)  大学本科以上学历学位；
(5)  一般需具备 5  年及以上科技大中型团队管理工作经验，有大型项目交付或项目集管理经验者优先；
(6)  有研发管理或技术创新应用经验，或有数据中心级别系统运维管理经验者优先；有人工智能相关研发经验者优先；
(7)  工作认真负责，能够承受较大工作压力，具有良好的分析和判断能力，并具有良好的内外沟通能力及书面表达能力。",页面更新时间：2026-04-22,,
1776841895-6,https://www.zhipin.com/web/geek/jobs,数据算法丨数据闭环丨工具链开发,上海某大型互联网出行平台公司,上海,C/C++,Python,数据标注,3-5年,硕士,数据算法丨数据闭环丨工具链开发,https://www.zhipin.com/job_detail/3ef38e3d084149d80nZ42967EFRT.html,40-70K·15薪,数据算法丨数据闭环丨工具链开发,3-5年,硕士,上海,"职责:
1.数据闭环体系搭建与落地：负责自动驾驶全链路数据闭环体系设计与搭建，日均处理亿级传感器原始数据及标注数据，保障数据从采集、处理到模型训练的端到端流转，支撑感知、决策规划等端到端模型的⾼效训练；
2.数据闭环⼯具链研发：
①　针对标注数据、场景数据，设计并落地数据清洗（去噪、去重、异常过滤）、解析、切⽚、抽帧、送标（对接标注平台）的全流程自动化 pipeline；
②　优化 pipeline 吞吐量与延迟，目标⽀撑日均 10 万 + 场景数据处理，服务算法团队数据生产需求；
③　推动工具链部署落地，解决线上运行故障（如数据阻塞、接口兼容问题），保障工具链可用性。
3.高价值场景数据挖掘体系建设:
①　搭建 “规则 + 大模型” 双驱动的数据挖掘产线：针对规则挖掘，设计接入多种传感器、定位、感知、底盘、车身信号并优化规则策略；
②　针对大模型挖掘任务，完成数据方案制定、模型微调、loss优化、模型评测等；
③　与算法团队协作迭代挖掘策略，提升 corner case 召回率（目标≥85%）。
任职:
1.2 年及以上自动驾驶数据体系相关经验，有大厂 / 独角兽企业数据工厂搭建、量产项目经验者优先；
2.精通 Python、C++，熟悉 Linux 操作系统（常用指令、Shell 脚本），具备良好编程习惯（代码注释、Git 版本管理、CI/CD 流程）；
3.掌握常见主流传感器数据处理：LiDAR（点云去噪 / 拼接 / 动静态补偿）、Camera（畸变校正 / 图像融合）等；
4.精通 H264/H265/YUV/MJPEG 等编解码方式，有定制数据格式经验（如自定义传感器数据封装格式、私有标注格式）者加分；
5.熟悉自动驾驶中间件：ROS2（节点通信、Msg/Srv 定义、参数服务器配置）、DDS（QoS 策略优化）。",页面更新时间：2026-04-22,,
1776841901-7,https://www.zhipin.com/web/geek/jobs,反爬专家-国际化安全,滴滴,上海·静安区·汶水路,流量反作弊,流量安全,,3-5年,本科,反爬专家-国际化安全,https://www.zhipin.com/job_detail/ed5ed5dc446917490nRz3tm7GFBZ.html,25-50K·15薪,反爬专家-国际化安全,3-5年,本科,上海,"岗位职责
1. 监控和分析异常流量，负责制定和实施反爬虫策略；
2. 定期进行安全风险评估，优化反爬运营流程，迭代反爬相关技术文档;
3. 应对不断变化的爬虫技术，处理⼤规模异常流量;
4. 在保证⽤户体验的同时有效防范爬⾍，快速响应安全事件；
任职资格
1. 本科及以上学历，计算机科学、网络安全、信息安全、软件工程等相关专业，3-5年相关⼯作经验;
2. 具备反爬虫策略制定与实施经验，熟悉网站安全防护机制，有数据分析与异常检测项目经验;
3. 具备良好的沟通表达能力、团队协作精神、问题分析与解决能力、策略拆解与组织推动能力;
4. 熟悉主流反爬技术与工具，有大型互联网公司反爬经验者优先",页面更新时间：2026-04-22,滴滴,上海滴滴百川大厦一层
1776841905-8,https://www.zhipin.com/web/geek/jobs,风控算法工程师,某大型互联网公司,上海,风控/安全策略经验,,,3-5年,本科,风控算法工程师,https://www.zhipin.com/job_detail/120b77e9c51a46e60nR92di8EVtT.html,35-65K·16薪,风控算法工程师,3-5年,本科,上海,"工作职责：
1、负责虚假账号、流量风控(API流量)、设备群控风险治理
2、体系化构建风险域识别框架，将被动对抗转化为自动对抗
3、负责风险数据梳理和通用特征建设，聚焦用户⾏为分析、设备指纹、⽹络接口特征、业务上下⽂等多维度数据建模
4、对多类风险问题进行算法调研和新算法开发，形成算法库，为算法平台提供支持
任职资格：
1、2年以上风控算法研发经验，算法基础扎实，本科及以上学历，计算机相关专业优先，特别优秀可放宽年限约束
2、熟悉风控的常⽤算法，包括异常检测、团伙检测、行为序列建模
3、熟悉Python/Scala/Java ，具备优秀的编码能力，至少熟悉一种常见的机器学习／深度学习平台
4、对业务和数据敏感，能够从数据上发现风险，提出解决方案，并验证效果
5、有钻研精神，对安全风控有热情，主观能动性强，能适应快速变化的业务需求，具备良好的团队合作精神
6、有反爬、API流量风控相关经验优先",页面更新时间：2026-04-22,,
1776841910-9,https://www.zhipin.com/web/geek/jobs,后端开发,上海某大型智能硬件公司,上海,,,,经验不限,本科,后端开发,https://www.zhipin.com/job_detail/bc20377fded111530nd-2N67ElJX.html,25-50K,后端开发,经验不限,本科,上海,"AI boss后端 - P4资深
职位描述：
负责公司AI业务系统的整体技术规划与架构设计，包括语音服务、数据服务、营销服务、AI Agent等能力建设
负责 AI服务基础设施建设，设计高可用、⾼并发的AI 服务架构⽀撑全球业务稳定运⾏
主导核心技术模块开发，包括基础框架、AI服务网关、会话管理、计量计费、安全服务等
深⼊思考与解决研发过程中的系统问题，持续优化系统架构与性能，提升服务稳定性与处理效率
输出技术规范与最佳实践，提升团队研发效率与工程质量
参与产品需求评审，与产品、算法、前端团队协作，推动AI产品能力落地
职位要求：
5年以上后端开发经验，熟悉Golang/Python/Java/C至少两种语言，有AI业务研发经验为佳
扎实的计算机基础，熟悉网络协议、数据存储、缓存、搜索、WEB安全、消息系统等基础技术
具备中大型分布式系统架构设计经验，能够独立完成系统设计与落地
熟悉微服务架构、服务治理、高并发系统设计与性能优化
具备良好的沟通能力与技术判断力，能够推动复杂技术项目落地
了解 AI 服务架构，例如 LLM 推理服务、ASR、TTS、AI Agent、RAG、向量数据库等优先
AI 后端 - P3
职位描述：
负责公司 AI 业务系统的后端开发，包括语音服务、AI Agent、数据服务、营销服务等相关功能模块的设计与实现
参与 AI 服务平台建设，开发高可用、高并发的后端服务，保障全球业务稳定运行
负责核心业务模块开发，例如会话管理、AI 服务调用、数据处理、接口服务等
与算法、前端、产品团队协作，完成 AI 产品能力落地与业务功能实现
参与系统性能优化与稳定性治理，提升系统吞吐能力与响应效率
参与技术方案评审与代码评审，持续提升系统质量与研发效率
职位要求：
3年以上后端开发经验，熟悉 Golang / Python / Java / C 至少一种语言
扎实的计算机基础，熟悉网络协议（HTTP、TCP）、数据库、缓存、消息队列等常见后端技术
熟悉 Linux开发环境与常见后端框架，具备良好的编码习惯
熟悉 微服务架构或分布式系统开发经验，了解服务治理与性能优化
具备良好的问题分析能力和团队协作能力
了解 AI 相关技术（LLM、ASR、TTS、RAG、AI Agent、向量数据库等）或有 AI 产品开发经验优先",页面更新时间：2026-04-22,,
1776841915-10,https://www.zhipin.com/web/geek/jobs,算法工程师（时序预测 / 电池方向）,星云智慧科技,上海·静安区·汶水路,时间序列,机器学习,深度学习,5-10年,本科,算法工程师（时序预测 / 电池方向）,https://www.zhipin.com/job_detail/72c9b4ccb687459c0nZ73N6-FlFW.html,25-50K·13薪,算法工程师（时序预测 / 电池方向）,5-10年,本科,上海,"算法工程师（时序预测 / 自监督学习 / 电池方向）
岗位职责
1.负责基于 PyTorch 的机器学习与深度学习模型开发、训练、优化与部署。
2.设计并实现 时间序列（Time Series）建模算法，包括数据建模、特征提取、模型训练与评估。
3.进行⼤规模实验数据的 数据清洗、异常检测、特征⼯程 与质量评估⼯作。
4.研究并落地 自监督学习（Self-supervised Learning） 技术，用于⽆标注数据建模与预训练。
5.针对电池（锂电池）相关任务（如 SOH 估计、RUL 预测、热失控、析锂检测等），构建算法方案、实验策略和模型框架。
6.阅读并跟踪领域前沿论文，结合业务场景开展创新性算法探索与验证。
7.与数据、软件、硬件和产品团队协同完成算法落地和性能优化。
任职要求
1.计算机、电子、自动化、数学、能源、材料等相关专业，本科及以上学历。
2.精通 PyTorch，能够 independently 构建、调试、优化深度学习模型。
3.拥有扎实的 机器学习、深度学习 基础，熟悉经典和最新的 TS/ML/DL 模型结构与训练方法。
4.有 时间序列建模实际项目经验，熟悉 Transformer、TST 等相关架构。
5.熟悉 数据清洗、数据增强、异常点处理、时序采样和无标签数据处理方法。
6.熟悉自监督学习方法，如 Masked Modeling、Contrastive Learning、Representation Learning 等，并有实践经验者优先。
7.具备电池领域经验者优先：SOH、SOC、RUL、DCR、IC 曲线、循环寿命测试、常规充放电数据分析等任一方向。
8.较强的工程能力，熟练使用 Python 及常用数据处理库（NumPy/Pandas/Scikit-learn），具备模型部署经验者加分。
9.具备良好的阅读论文能力，乐于探索新方法，有独立解决问题和推动项目落地的能力。
加分项
•有电池相关算法、BMS、实验室测试数据分析项目经验。
•有自监督预训练（Time Series SSL）项目经验。
•有多模态建模经验，如结合时间序列 + 文本/结构化数据。
•有开源项目、论文发表或竞赛 Top 经验。
异地岗位，需要来福州办公",页面更新时间：2026-04-22,星云智慧科技,上海静安区东方环球企业中心3号楼2楼
